driverId,q1_timing,q2_timing,q3_timing,race_id,position,qualifying_pos,prev_year_pos,season,round
damon_hill,1:20.081,0,0,1995_1,16,1,0.0,1995,1
michael_schumacher,1:20.382,0,0,1995_1,1,2,0.0,1995,1
coulthard,1:20.422,0,0,1995_1,2,3,0.0,1995,1
herbert,1:20.888,0,0,1995_1,17,4,0.0,1995,1
berger,1:20.906,0,0,1995_1,3,5,0.0,1995,1
alesi,1:21.041,0,0,1995_1,5,6,0.0,1995,1
hakkinen,1:21.399,0,0,1995_1,4,7,0.0,1995,1
irvine,1:21.749,0,0,1995_1,22,8,0.0,1995,1
blundell,1:21.779,0,0,1995_1,6,9,0.0,1995,1
panis,1:21.914,0,0,1995_1,25,10,0.0,1995,1
katayama,1:22.325,0,0,1995_1,21,11,0.0,1995,1
salo,1:22.416,0,0,1995_1,7,12,0.0,1995,1
morbidelli,1:22.468,0,0,1995_1,11,13,0.0,1995,1
frentzen,1:22.872,0,0,1995_1,24,14,0.0,1995,1
suzuki,1:22.971,0,0,1995_1,8,15,0.0,1995,1
barrichello,1:22.975,0,0,1995_1,19,16,0.0,1995,1
martini,1:24.383,0,0,1995_1,26,17,0.0,1995,1
badoer,1:24.443,0,0,1995_1,13,18,0.0,1995,1
wendlinger,1:24.723,0,0,1995_1,15,19,0.0,1995,1
gachot,1:25.127,0,0,1995_1,18,20,0.0,1995,1
inoue,1:25.225,0,0,1995_1,12,21,0.0,1995,1
montermini,1:25.886,0,0,1995_1,9,22,0.0,1995,1
moreno,1:26.269,0,0,1995_1,14,23,0.0,1995,1
verstappen,1:27.323,0,0,1995_1,20,24,0.0,1995,1
diniz,1:27.792,0,0,1995_1,10,25,0.0,1995,1
schiattarella,1:28.106,0,0,1995_1,23,26,0.0,1995,1
coulthard,1:53.241,0,0,1995_2,19,1,0.0,1995,2
damon_hill,1:54.057,0,0,1995_2,1,2,0.0,1995,2
michael_schumacher,1:54.272,0,0,1995_2,3,3,0.0,1995,2
irvine,1:54.381,0,0,1995_2,21,4,0.0,1995,2
hakkinen,1:54.529,0,0,1995_2,23,5,0.0,1995,2
alesi,1:54.637,0,0,1995_2,2,6,0.0,1995,2
salo,1:54.757,0,0,1995_2,12,7,0.0,1995,2
berger,1:55.276,0,0,1995_2,6,8,0.0,1995,2
frentzen,1:55.583,0,0,1995_2,5,9,0.0,1995,2
barrichello,1:56.114,0,0,1995_2,17,10,0.0,1995,2
herbert,1:57.068,0,0,1995_2,4,11,0.0,1995,2
morbidelli,1:57.092,0,0,1995_2,15,12,0.0,1995,2
badoer,1:57.167,0,0,1995_2,26,13,0.0,1995,2
verstappen,1:57.231,0,0,1995_2,18,14,0.0,1995,2
katayama,1:57.484,0,0,1995_2,8,15,0.0,1995,2
martini,1:58.066,0,0,1995_2,14,16,0.0,1995,2
blundell,1:58.660,0,0,1995_2,20,17,0.0,1995,2
panis,1:58.824,0,0,1995_2,7,18,0.0,1995,2
suzuki,1:58.882,0,0,1995_2,13,19,0.0,1995,2
schiattarella,1:59.539,0,0,1995_2,9,20,0.0,1995,2
wendlinger,2:00.751,0,0,1995_2,25,21,0.0,1995,2
montermini,2:01.763,0,0,1995_2,22,22,0.0,1995,2
gachot,2:04.050,0,0,1995_2,24,23,0.0,1995,2
moreno,2:04.481,0,0,1995_2,11,24,0.0,1995,2
diniz,2:05.932,0,0,1995_2,10,25,0.0,1995,2
inoue,2:07.298,0,0,1995_2,16,26,0.0,1995,2
michael_schumacher,1:27.274,0,0,1995_3,26,1,0.0,1995,3
berger,1:27.282,0,0,1995_3,3,2,0.0,1995,3
coulthard,1:27.459,0,0,1995_3,4,3,0.0,1995,3
damon_hill,1:27.512,0,0,1995_3,1,4,0.0,1995,3
alesi,1:27.813,0,0,1995_3,2,5,0.0,1995,3
hakkinen,1:28.343,0,0,1995_3,5,6,0.0,1995,3
irvine,1:28.516,0,0,1995_3,8,7,0.0,1995,3
herbert,1:29.350,0,0,1995_3,7,8,0.0,1995,3
mansell,1:29.517,0,0,1995_3,10,9,0.0,1995,3
barrichello,1:29.551,0,0,1995_3,20,10,0.0,1995,3
morbidelli,1:29.582,0,0,1995_3,13,11,0.0,1995,3
panis,1:30.760,0,0,1995_3,9,12,0.0,1995,3
salo,1:31.035,0,0,1995_3,22,13,0.0,1995,3
frentzen,1:31.358,0,0,1995_3,6,14,0.0,1995,3
katayama,1:31.630,0,0,1995_3,21,15,0.0,1995,3
suzuki,1:31.913,0,0,1995_3,11,16,0.0,1995,3
verstappen,1:32.156,0,0,1995_3,24,17,0.0,1995,3
martini,1:32.445,0,0,1995_3,12,18,0.0,1995,3
inoue,1:32.710,0,0,1995_3,25,19,0.0,1995,3
badoer,1:33.071,0,0,1995_3,14,20,0.0,1995,3
wendlinger,1:33.494,0,0,1995_3,17,21,0.0,1995,3
gachot,1:33.892,0,0,1995_3,18,22,0.0,1995,3
schiattarella,1:33.965,0,0,1995_3,19,23,0.0,1995,3
montermini,1:35.169,0,0,1995_3,23,24,0.0,1995,3
moreno,1:36.065,0,0,1995_3,16,25,0.0,1995,3
diniz,1:36.624,0,0,1995_3,15,26,0.0,1995,3
michael_schumacher,1:21.452,0,0,1995_4,1,1,0.0,1995,4
alesi,1:22.052,0,0,1995_4,22,2,0.0,1995,4
berger,1:22.071,0,0,1995_4,3,3,0.0,1995,4
coulthard,1:22.332,0,0,1995_4,17,4,0.0,1995,4
damon_hill,1:22.349,0,0,1995_4,4,5,0.0,1995,4
irvine,1:23.352,0,0,1995_4,5,6,0.0,1995,4
herbert,1:23.536,0,0,1995_4,2,7,0.0,1995,4
barrichello,1:23.705,0,0,1995_4,7,8,0.0,1995,4
hakkinen,1:23.833,0,0,1995_4,18,9,0.0,1995,4
mansell,1:23.927,0,0,1995_4,24,10,0.0,1995,4
brundle,1:24.727,0,0,1995_4,9,11,0.0,1995,4
frentzen,1:24.802,0,0,1995_4,8,12,0.0,1995,4
salo,1:24.971,0,0,1995_4,10,13,0.0,1995,4
morbidelli,1:25.053,0,0,1995_4,11,14,0.0,1995,4
panis,1:25.204,0,0,1995_4,6,15,0.0,1995,4
verstappen,1:25.827,0,0,1995_4,12,16,0.0,1995,4
katayama,1:25.946,0,0,1995_4,16,17,0.0,1995,4
inoue,1:26.059,0,0,1995_4,19,18,0.0,1995,4
martini,1:26.619,0,0,1995_4,14,19,0.0,1995,4
wendlinger,1:27.007,0,0,1995_4,13,20,0.0,1995,4
badoer,1:27.345,0,0,1995_4,23,21,0.0,1995,4
schiattarella,1:27.575,0,0,1995_4,15,22,0.0,1995,4
montermini,1:28.094,0,0,1995_4,26,23,0.0,1995,4
gachot,1:28.598,0,0,1995_4,20,24,0.0,1995,4
moreno,1:28.963,0,0,1995_4,21,25,0.0,1995,4
diniz,1:29.540,0,0,1995_4,25,26,0.0,1995,4
damon_hill,1:21.952,0,0,1995_5,2,1,0.0,1995,5
michael_schumacher,1:22.742,0,0,1995_5,1,2,0.0,1995,5
coulthard,1:23.109,0,0,1995_5,22,3,0.0,1995,5
berger,1:23.220,0,0,1995_5,3,4,0.0,1995,5
alesi,1:23.754,0,0,1995_5,16,5,0.0,1995,5
hakkinen,1:23.857,0,0,1995_5,24,6,0.0,1995,5
herbert,1:23.885,0,0,1995_5,4,7,0.0,1995,5
brundle,1:24.447,0,0,1995_5,17,8,0.0,1995,5
irvine,1:24.857,0,0,1995_5,21,9,0.0,1995,5
blundell,1:24.933,0,0,1995_5,5,10,0.0,1995,5
barrichello,1:25.081,0,0,1995_5,14,11,0.0,1995,5
panis,1:25.125,0,0,1995_5,12,12,0.0,1995,5
morbidelli,1:25.447,0,0,1995_5,9,13,0.0,1995,5
frentzen,1:25.661,0,0,1995_5,6,14,0.0,1995,5
katayama,1:25.808,0,0,1995_5,19,15,0.0,1995,5
badoer,1:25.969,0,0,1995_5,11,16,0.0,1995,5
salo,1:26.473,0,0,1995_5,13,17,0.0,1995,5
martini,1:26.913,0,0,1995_5,7,18,0.0,1995,5
boullion,1:27.145,0,0,1995_5,8,19,0.0,1995,5
schiattarella,1:28.337,0,0,1995_5,26,20,0.0,1995,5
gachot,1:29.039,0,0,1995_5,15,21,0.0,1995,5
diniz,1:29.244,0,0,1995_5,10,22,0.0,1995,5
verstappen,1:29.391,0,0,1995_5,25,23,0.0,1995,5
moreno,1:29.608,0,0,1995_5,23,24,0.0,1995,5
montermini,1:30.149,0,0,1995_5,20,25,0.0,1995,5
inoue,1:31.542,0,0,1995_5,18,26,0.0,1995,5
michael_schumacher,1:27.661,0,0,1995_6,5,1,0.0,1995,6
damon_hill,1:28.039,0,0,1995_6,14,2,0.0,1995,6
coulthard,1:28.091,0,0,1995_6,22,3,0.0,1995,6
berger,1:28.189,0,0,1995_6,11,4,0.0,1995,6
alesi,1:28.474,0,0,1995_6,1,5,0.0,1995,6
herbert,1:28.498,0,0,1995_6,23,6,0.0,1995,6
hakkinen,1:28.910,0,0,1995_6,24,7,0.0,1995,6
irvine,1:29.021,0,0,1995_6,3,8,0.0,1995,6
barrichello,1:29.171,0,0,1995_6,2,9,0.0,1995,6
blundell,1:29.641,0,0,1995_6,15,10,0.0,1995,6
panis,1:29.809,0,0,1995_6,4,11,0.0,1995,6
frentzen,1:30.017,0,0,1995_6,18,12,0.0,1995,6
morbidelli,1:30.159,0,0,1995_6,6,13,0.0,1995,6
brundle,1:30.255,0,0,1995_6,10,14,0.0,1995,6
salo,1:30.657,0,0,1995_6,7,15,0.0,1995,6
katayama,1:31.382,0,0,1995_6,16,16,0.0,1995,6
martini,1:31.445,0,0,1995_6,12,17,0.0,1995,6
boullion,1:31.838,0,0,1995_6,20,18,0.0,1995,6
badoer,1:31.853,0,0,1995_6,8,19,0.0,1995,6
gachot,1:32.841,0,0,1995_6,17,20,0.0,1995,6
montermini,1:32.894,0,0,1995_6,21,21,0.0,1995,6
inoue,1:32.995,0,0,1995_6,9,22,0.0,1995,6
moreno,1:34.000,0,0,1995_6,13,23,0.0,1995,6
diniz,1:34.982,0,0,1995_6,19,24,0.0,1995,6
damon_hill,1:17.225,0,0,1995_7,2,1,0.0,1995,7
michael_schumacher,1:17.512,0,0,1995_7,1,2,0.0,1995,7
coulthard,1:17.925,0,0,1995_7,3,3,0.0,1995,7
alesi,1:18.761,0,0,1995_7,5,4,0.0,1995,7
barrichello,1:18.810,0,0,1995_7,6,5,0.0,1995,7
panis,1:19.047,0,0,1995_7,8,6,0.0,1995,7
berger,1:19.051,0,0,1995_7,12,7,0.0,1995,7
hakkinen,1:19.238,0,0,1995_7,7,8,0.0,1995,7
brundle,1:19.384,0,0,1995_7,4,9,0.0,1995,7
herbert,1:19.555,0,0,1995_7,21,10,0.0,1995,7
irvine,1:19.845,0,0,1995_7,9,11,0.0,1995,7
