season,round,driverId,driver,constructorId,q1,q2,q3
1995,1,damon_hill,Hill,williams,01:20.1,N/A,N/A
1995,1,michael_schumacher,Schumacher,benetton,01:20.4,N/A,N/A
1995,1,coulthard,Coulthard,williams,01:20.4,N/A,N/A
1995,1,herbert,Herbert,benetton,01:20.9,N/A,N/A
1995,1,berger,Berger,ferrari,01:20.9,N/A,N/A
1995,1,alesi,Alesi,ferrari,01:21.0,N/A,N/A
1995,1,hakkinen,Häkkinen,mclaren,01:21.4,N/A,N/A
1995,1,irvine,Irvine,jordan,01:21.7,N/A,N/A
1995,1,blundell,Blundell,mclaren,01:21.8,N/A,N/A
1995,1,panis,Panis,ligier,01:21.9,N/A,N/A
1995,1,katayama,Katayama,tyrrell,01:22.3,N/A,N/A
1995,1,salo,Salo,tyrrell,01:22.4,N/A,N/A
1995,1,morbidelli,Morbidelli,footwork,01:22.5,N/A,N/A
1995,1,frentzen,Frentzen,sauber,01:22.9,N/A,N/A
1995,1,suzuki,Suzuki,ligier,01:23.0,N/A,N/A
1995,1,barrichello,Barrichello,jordan,01:23.0,N/A,N/A
1995,1,martini,Martini,minardi,01:24.4,N/A,N/A
1995,1,badoer,Badoer,minardi,01:24.4,N/A,N/A
1995,1,wendlinger,Wendlinger,sauber,01:24.7,N/A,N/A
1995,1,gachot,Gachot,pacific,01:25.1,N/A,N/A
1995,1,inoue,Inoue,footwork,01:25.2,N/A,N/A
1995,1,montermini,Montermini,pacific,01:25.9,N/A,N/A
1995,1,moreno,Moreno,forti,01:26.3,N/A,N/A
1995,1,verstappen,Verstappen,simtek,01:27.3,N/A,N/A
1995,1,diniz,Diniz,forti,01:27.8,N/A,N/A
1995,1,schiattarella,Schiattarella,simtek,01:28.1,N/A,N/A
1995,2,coulthard,Coulthard,williams,01:53.2,N/A,N/A
1995,2,damon_hill,Hill,williams,01:54.1,N/A,N/A
1995,2,michael_schumacher,Schumacher,benetton,01:54.3,N/A,N/A
1995,2,irvine,Irvine,jordan,01:54.4,N/A,N/A
1995,2,hakkinen,Häkkinen,mclaren,01:54.5,N/A,N/A
1995,2,alesi,Alesi,ferrari,01:54.6,N/A,N/A
1995,2,salo,Salo,tyrrell,01:54.8,N/A,N/A
1995,2,berger,Berger,ferrari,01:55.3,N/A,N/A
1995,2,frentzen,Frentzen,sauber,01:55.6,N/A,N/A
1995,2,barrichello,Barrichello,jordan,01:56.1,N/A,N/A
1995,2,herbert,Herbert,benetton,01:57.1,N/A,N/A
1995,2,morbidelli,Morbidelli,footwork,01:57.1,N/A,N/A
1995,2,badoer,Badoer,minardi,01:57.2,N/A,N/A
1995,2,verstappen,Verstappen,simtek,01:57.2,N/A,N/A
1995,2,katayama,Katayama,tyrrell,01:57.5,N/A,N/A
1995,2,martini,Martini,minardi,01:58.1,N/A,N/A
1995,2,blundell,Blundell,mclaren,01:58.7,N/A,N/A
1995,2,panis,Panis,ligier,01:58.8,N/A,N/A
1995,2,suzuki,Suzuki,ligier,01:58.9,N/A,N/A
1995,2,schiattarella,Schiattarella,simtek,01:59.5,N/A,N/A
1995,2,wendlinger,Wendlinger,sauber,02:00.8,N/A,N/A
1995,2,montermini,Montermini,pacific,02:01.8,N/A,N/A
1995,2,gachot,Gachot,pacific,02:04.1,N/A,N/A
1995,2,moreno,Moreno,forti,02:04.5,N/A,N/A
1995,2,diniz,Diniz,forti,02:05.9,N/A,N/A
1995,2,inoue,Inoue,footwork,02:07.3,N/A,N/A
1995,3,michael_schumacher,Schumacher,benetton,01:27.3,N/A,N/A
1995,3,berger,Berger,ferrari,01:27.3,N/A,N/A
1995,3,coulthard,Coulthard,williams,01:27.5,N/A,N/A
1995,3,damon_hill,Hill,williams,01:27.5,N/A,N/A
1995,3,alesi,Alesi,ferrari,01:27.8,N/A,N/A
1995,3,hakkinen,Häkkinen,mclaren,01:28.3,N/A,N/A
1995,3,irvine,Irvine,jordan,01:28.5,N/A,N/A
1995,3,herbert,Herbert,benetton,01:29.3,N/A,N/A
1995,3,mansell,Mansell,mclaren,01:29.5,N/A,N/A
1995,3,barrichello,Barrichello,jordan,01:29.6,N/A,N/A
1995,3,morbidelli,Morbidelli,footwork,01:29.6,N/A,N/A
1995,3,panis,Panis,ligier,01:30.8,N/A,N/A
1995,3,salo,Salo,tyrrell,01:31.0,N/A,N/A
1995,3,frentzen,Frentzen,sauber,01:31.4,N/A,N/A
1995,3,katayama,Katayama,tyrrell,01:31.6,N/A,N/A
1995,3,suzuki,Suzuki,ligier,01:31.9,N/A,N/A
1995,3,verstappen,Verstappen,simtek,01:32.2,N/A,N/A
1995,3,martini,Martini,minardi,01:32.4,N/A,N/A
1995,3,inoue,Inoue,footwork,01:32.7,N/A,N/A
1995,3,badoer,Badoer,minardi,01:33.1,N/A,N/A
1995,3,wendlinger,Wendlinger,sauber,01:33.5,N/A,N/A
1995,3,gachot,Gachot,pacific,01:33.9,N/A,N/A
1995,3,schiattarella,Schiattarella,simtek,01:34.0,N/A,N/A
1995,3,montermini,Montermini,pacific,01:35.2,N/A,N/A
1995,3,moreno,Moreno,forti,01:36.1,N/A,N/A
1995,3,diniz,Diniz,forti,01:36.6,N/A,N/A
1995,4,michael_schumacher,Schumacher,benetton,01:21.5,N/A,N/A
1995,4,alesi,Alesi,ferrari,01:22.1,N/A,N/A
1995,4,berger,Berger,ferrari,01:22.1,N/A,N/A
1995,4,coulthard,Coulthard,williams,01:22.3,N/A,N/A
1995,4,damon_hill,Hill,williams,01:22.3,N/A,N/A
1995,4,irvine,Irvine,jordan,01:23.4,N/A,N/A
1995,4,herbert,Herbert,benetton,01:23.5,N/A,N/A
1995,4,barrichello,Barrichello,jordan,01:23.7,N/A,N/A
1995,4,hakkinen,Häkkinen,mclaren,01:23.8,N/A,N/A
1995,4,mansell,Mansell,mclaren,01:23.9,N/A,N/A
1995,4,brundle,Brundle,ligier,01:24.7,N/A,N/A
1995,4,frentzen,Frentzen,sauber,01:24.8,N/A,N/A
1995,4,salo,Salo,tyrrell,01:25.0,N/A,N/A
1995,4,morbidelli,Morbidelli,footwork,01:25.1,N/A,N/A
1995,4,panis,Panis,ligier,01:25.2,N/A,N/A
1995,4,verstappen,Verstappen,simtek,01:25.8,N/A,N/A
1995,4,katayama,Katayama,tyrrell,01:25.9,N/A,N/A
1995,4,inoue,Inoue,footwork,01:26.1,N/A,N/A
1995,4,martini,Martini,minardi,01:26.6,N/A,N/A
1995,4,wendlinger,Wendlinger,sauber,01:27.0,N/A,N/A
1995,4,badoer,Badoer,minardi,01:27.3,N/A,N/A
1995,4,schiattarella,Schiattarella,simtek,01:27.6,N/A,N/A
1995,4,montermini,Montermini,pacific,01:28.1,N/A,N/A
1995,4,gachot,Gachot,pacific,01:28.6,N/A,N/A
1995,4,moreno,Moreno,forti,01:29.0,N/A,N/A
1995,4,diniz,Diniz,forti,01:29.5,N/A,N/A
1995,5,damon_hill,Hill,williams,01:22.0,N/A,N/A
1995,5,michael_schumacher,Schumacher,benetton,01:22.7,N/A,N/A
1995,5,coulthard,Coulthard,williams,01:23.1,N/A,N/A
1995,5,berger,Berger,ferrari,01:23.2,N/A,N/A
1995,5,alesi,Alesi,ferrari,01:23.8,N/A,N/A
1995,5,hakkinen,Häkkinen,mclaren,01:23.9,N/A,N/A
1995,5,herbert,Herbert,benetton,01:23.9,N/A,N/A
1995,5,brundle,Brundle,ligier,01:24.4,N/A,N/A
1995,5,irvine,Irvine,jordan,01:24.9,N/A,N/A
1995,5,blundell,Blundell,mclaren,01:24.9,N/A,N/A
1995,5,barrichello,Barrichello,jordan,01:25.1,N/A,N/A
1995,5,panis,Panis,ligier,01:25.1,N/A,N/A
