,driverId,race_id,q1_timing,q2_timing,q3_timing,position,qualifying_pos,prev_year_pos,season,round
0,damon_hill,1995_1,1:20.081,0,0,16,1,0.0,1995,1
1,michael_schumacher,1995_1,1:20.382,0,0,1,2,0.0,1995,1
2,coulthard,1995_1,1:20.422,0,0,2,3,0.0,1995,1
3,herbert,1995_1,1:20.888,0,0,17,4,0.0,1995,1
4,berger,1995_1,1:20.906,0,0,3,5,0.0,1995,1
5,alesi,1995_1,1:21.041,0,0,5,6,0.0,1995,1
6,hakkinen,1995_1,1:21.399,0,0,4,7,0.0,1995,1
7,irvine,1995_1,1:21.749,0,0,22,8,0.0,1995,1
8,blundell,1995_1,1:21.779,0,0,6,9,0.0,1995,1
9,panis,1995_1,1:21.914,0,0,25,10,0.0,1995,1
10,katayama,1995_1,1:22.325,0,0,21,11,0.0,1995,1
11,salo,1995_1,1:22.416,0,0,7,12,0.0,1995,1
12,morbidelli,1995_1,1:22.468,0,0,11,13,0.0,1995,1
13,frentzen,1995_1,1:22.872,0,0,24,14,0.0,1995,1
14,suzuki,1995_1,1:22.971,0,0,8,15,0.0,1995,1
15,barrichello,1995_1,1:22.975,0,0,19,16,0.0,1995,1
16,martini,1995_1,1:24.383,0,0,26,17,0.0,1995,1
17,badoer,1995_1,1:24.443,0,0,13,18,0.0,1995,1
18,wendlinger,1995_1,1:24.723,0,0,15,19,0.0,1995,1
19,gachot,1995_1,1:25.127,0,0,18,20,0.0,1995,1
20,inoue,1995_1,1:25.225,0,0,12,21,0.0,1995,1
21,montermini,1995_1,1:25.886,0,0,9,22,0.0,1995,1
22,moreno,1995_1,1:26.269,0,0,14,23,0.0,1995,1
23,verstappen,1995_1,1:27.323,0,0,20,24,0.0,1995,1
24,diniz,1995_1,1:27.792,0,0,10,25,0.0,1995,1
25,schiattarella,1995_1,1:28.106,0,0,23,26,0.0,1995,1
26,coulthard,1995_2,1:53.241,0,0,19,1,0.0,1995,2
27,damon_hill,1995_2,1:54.057,0,0,1,2,0.0,1995,2
28,michael_schumacher,1995_2,1:54.272,0,0,3,3,0.0,1995,2
29,irvine,1995_2,1:54.381,0,0,21,4,0.0,1995,2
30,hakkinen,1995_2,1:54.529,0,0,23,5,0.0,1995,2
31,alesi,1995_2,1:54.637,0,0,2,6,0.0,1995,2
32,salo,1995_2,1:54.757,0,0,12,7,0.0,1995,2
33,berger,1995_2,1:55.276,0,0,6,8,0.0,1995,2
34,frentzen,1995_2,1:55.583,0,0,5,9,0.0,1995,2
35,barrichello,1995_2,1:56.114,0,0,17,10,0.0,1995,2
36,herbert,1995_2,1:57.068,0,0,4,11,0.0,1995,2
37,morbidelli,1995_2,1:57.092,0,0,15,12,0.0,1995,2
38,badoer,1995_2,1:57.167,0,0,26,13,0.0,1995,2
39,verstappen,1995_2,1:57.231,0,0,18,14,0.0,1995,2
40,katayama,1995_2,1:57.484,0,0,8,15,0.0,1995,2
41,martini,1995_2,1:58.066,0,0,14,16,0.0,1995,2
42,blundell,1995_2,1:58.660,0,0,20,17,0.0,1995,2
43,panis,1995_2,1:58.824,0,0,7,18,0.0,1995,2
44,suzuki,1995_2,1:58.882,0,0,13,19,0.0,1995,2
45,schiattarella,1995_2,1:59.539,0,0,9,20,0.0,1995,2
46,wendlinger,1995_2,2:00.751,0,0,25,21,0.0,1995,2
47,montermini,1995_2,2:01.763,0,0,22,22,0.0,1995,2
48,gachot,1995_2,2:04.050,0,0,24,23,0.0,1995,2
49,moreno,1995_2,2:04.481,0,0,11,24,0.0,1995,2
50,diniz,1995_2,2:05.932,0,0,10,25,0.0,1995,2
51,inoue,1995_2,2:07.298,0,0,16,26,0.0,1995,2
52,michael_schumacher,1995_3,1:27.274,0,0,26,1,0.0,1995,3
53,berger,1995_3,1:27.282,0,0,3,2,0.0,1995,3
54,coulthard,1995_3,1:27.459,0,0,4,3,0.0,1995,3
55,damon_hill,1995_3,1:27.512,0,0,1,4,0.0,1995,3
56,alesi,1995_3,1:27.813,0,0,2,5,0.0,1995,3
57,hakkinen,1995_3,1:28.343,0,0,5,6,0.0,1995,3
58,irvine,1995_3,1:28.516,0,0,8,7,0.0,1995,3
59,herbert,1995_3,1:29.350,0,0,7,8,0.0,1995,3
60,mansell,1995_3,1:29.517,0,0,10,9,0.0,1995,3
